id,property,decision,brand,city,state,keys,guidance,broker,brokerContact,type,status,cfo,date,notes,address,yearBuilt,yearReno,owner,mgmtCo,structure,glLessor,glExpiry,glRent,roomsRev,fbRev,otherRev,totalRev,gop,noi,occ,adr,revpar,rgi,compSet,ourBid,bidDate,pipEst,debt,franchiseExp,ld,motivation,internalOwner,nextStep,driveUrl,vdrUrl,emailUrl
371,The Postcard Motel,Pass,Independent,,,,"$895,000",Cushman & Wakefield,,Economy,Price reduction,,Jul 14,Absentee owner; motivated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Hyatt Place Houston Downtown,Pass,Hyatt Place,Houston,TX,,,Boldface / Revere,,Select-service,Seller financing available,,Jul 14,16-story; June YTD rev $4.1MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Home2 Suites Boston South Bay,Underwrite,Home2 Suites,Boston,MA,130,,JLL,,Extended-stay,Investment opportunity,,Jul 14,2020 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Best Western Tyrolean Lodge Ketchum/Sun Valley,Underwrite,Best Western,Ketchum,ID,,,CBRE,,Economy,CFO Aug 18; tours ongoing,"Aug 18, 2026",Jul 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Confidential Hilton Asset Georgia,Pass,Hilton,,GA,,,Hotel Brokers of America,,Select-service,CA required,,Jul 14,Cash flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Newly Renovated Days Inn (CFO Jul 24),Pass,Days Inn,,,,,Allred Hotel Group,,Economy,CFO Jul 24,,Jul 14,Brand-new upgrades + dev acreage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Daytona Beach Hotel,Pass,Independent,Daytona Beach,FL,,,Alchemy REA,,Full-service,Tours Jul 21-22,,Jul 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Emerald Inn Dyersburg,Pass,Independent,Dyersburg,TN,,,Crexi,,Independent,Listed,,Jul 14,Recently renovated; owner-operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,La Quinta Inn by Wyndham West Palm Beach - Florida Turnpike,Underwrite,La Quinta,West Palm Beach,FL,135,,Rore Realty (listing page),,Economy,AJ model in Drive (mod Jul 13),,Jul 16,"5981 Okeechobee Blvd 33417. Opened Jul 1986. Between I-95 & Turnpike, 6mi PBI. STAR Dec-2022 (STALE): Occ 78.6% / ADR $116.04 / RevPAR $91.18; MPI 107.8, ARI 90.5, RGI 97.6 - fills rooms but rate rank 4 of 5. Comp set 488 rms: BW Palm Beach Lakes, Quality Inn PBI, Red Roof WPB, Hampton Inn WPB Turnpike. Marketed as commercial-zoned/alt-use flexibility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Hilton Garden Inn Atlanta North/Alpharetta,Pass,Hilton Garden Inn,Alpharetta,GA,164,Auction — no guidance,HREC,Monty Levy · (404) 660-6005 · mlevy@hrec.com,Select-service,Auction Oct 27-29 2025 (RealINSIGHT) — DEAD,"Oct 29, 2025",Archive,"★ CAUTIONARY COMP: ground rent ate the entire NOI. $417K in 2015 → $785K by FY24 = 16-18% of revenue, escalating 2.75%/yr GUARANTEED to 2060. NOI: FY18 +$1.77M → FY23 -$66K → FY24 -$363K → TTM -$279K. TTM rent UNDERSTATED (missing Mar-25 payment, OM Note 3). ARI 113.3 / MPI 96.8 = holds rate, loses heads. Contrast Gulfport: 1.0% of rev, 5% CAP.","4025 Windward Plaza, Alpharetta, GA 30005",1998,PIP required (not scoped),4025 Windward Plaza Alpharetta LLC,Unencumbered,Leasehold,"Terra Hospitality - GIANT, LLC",Jan 2114 (99-yr from 2015),"$784,923 FY24 — escalates 2.75%/yr to 2060, then 1.5%","$3,956,130","$395,248","$105,127","$4,456,505","$882,658","-$279,442",58.6%,$112.86,$66.09,109.6,652 (6 hotels),,,,n/a (auction),Not disclosed,,Auction / distressed — NOI negative 3 yrs,,"Comp only — dead deal, keep for ground-lease reference",,,
381,Hilton Garden Inn Birmingham SE/Liberty Park,Pass,Hilton Garden Inn,Birmingham,AL,130,No guidance published,CBRE,Stephen Leslie · (678) 595-1798 · stephen.leslie@cbre.com,Select-service,Marketed Jul 2025 — ARCHIVE,—,Archive,"★ FLAG: OM sells 'reclaim the top spot' — it was #1 of 5 in 2019, now #2 of 6. Occupancy NEVER recovered: 73.0% (2019) -> 63.6% (TTM May-25), -9.4 pts. ADR did all the work: $109.92 -> $145.45 (+32%). RGI 124.5 is strong but built on rate, not heads. Pro forma assumes occ jumps to 65.9% and holds flat 5 yrs — modest, but it has fallen 3 of last 4 yrs. Renovated 2022, so PIP is genuinely light. Property tax spiked to $302,681 in 2023 then normalized to $194K — verify assessment.","2090 Urban Center Pkwy, Birmingham, AL 35242",2008,2022 — full int/ext; Hilton COO PIP in deal room,Not disclosed,RAM Hotels (unencumbered),Fee Simple (3.17 AC),,,,"$4,379,572","$297,192","$112,039","$4,788,802","$2,162,770","$1,553,873",63.6%,$145.45,$92.58,124.5 (rank 2 of 6),528 (4 hotels),,,,Unencumbered,Not disclosed — fees 8.7% of total rev,,Unencumbered of debt & mgmt,,Comp — Birmingham select-service benchmark,,,
382,Fairfield Inn & Suites Montgomery EastChase Parkway,Pass,Fairfield Inn,Montgomery,AL,105,"$12,250,000",Marcus & Millichap,Eddie Greenhalgh (BOR) · (205) 510-9200,Select-service,Listed Sep 2024 — ARCHIVE,—,Archive,"★ FLAG: Broker math — $12.25M = $116,667/key, 10.34% cap on TTM NOI, RRM 3.59. With $1.8375M PIP ($17,500/key), all-in $14.09M = $134,167/key and 9.00% cap. M&M shows levered IRR 20.43% / unlevered 11.93% on a $4.31M down payment — their leverage assumptions, not ours. Detailed P&L was image-based in the OM and did not extract: rooms rev is computed from occ x ADR x keys x 365; GOP and expense lines unavailable. Request the Excel P&L if this ever comes back.","8970 EastChase Pkwy, Montgomery, AL 36117",2010,PIP est by broker,Not disclosed,Not disclosed,"Fee Simple (2.55 AC · 58,052 SF · 3 floors)",,,,"~$3,323,000 (calc)",$0,,,,"$1,267,169",72.0%,$120.43,$86.70,,,,,"$1,837,500",Not disclosed,Not disclosed,,Not disclosed,,Comp — AL select-service pricing benchmark,,,
383,Foley 3-Hotel Portfolio (Hampton / HIE / Home2),Pass,Hampton / HIX / Home2,Foley,AL,80 (Hampton) + HIE/Home2 n/d,Not disclosed,Direct / off-market,,Portfolio (3),P&Ls received Apr 2026 — no OM,—,Archive,"★ FLAG: ALL THREE DECLINING. Portfolio revenue $10.43M (2022) -> $8.75M (2025) = -16.1%, four straight years down. Hampton 2025 is the worst: occ 65.64% -> 59.71% (-5.93 pts), RevPAR $100.64 -> $90.87 (-9.7%), GOP $1,615,883 -> $1,234,343 (-23.6%), and it MISSED its own 2025 budget by $232,362. ACCOUNTING WARNING: Home2's 2025 P&L is CASH BASIS while 2022-24 are ACCRUAL, and its $354K lodging tax line vanishes in 2025 — its 'improved' $1.41M net income is an artifact, not performance. These are QuickBooks owner-operator statements, not USALI: no FF&E reserve, no consistent mgmt fee, taxes and interest mixed into opex. Not comparable to OM NOI without restatement.","Foley, AL (Gulf Shores / Orange Beach corridor)",n/d,n/d,"SAI Hospitality, Inc.",Owner-operated,Fee (assumed — not documented),,,,"$8,520,212 (2025, 3 hotels)",$0,,"$8,753,170 (2025)","$1,234,343 (Hampton only)",n/d — no USALI statements,59.7% (Hampton 2025),$152.19 (Hampton 2025),$90.87 (Hampton 2025),n/d — no STR provided,,,,,Hampton: Centennial Bank $4.56M + SBA $1.96M + United Bank $132K + Sweat Prop $173K = $6.83M,n/d,,n/d,,"If live: get STR, keys for HIE/Home2, USALI restatement, and 2026 YTD. Ask why revenue is down 16% since 2022.",,,
384,Courtyard Somerset,Pass,Courtyard,Somerset,KY,,,HREC,,Select-service,OM live — CA available; NOI >$1M,,Jul 16,NOI exceeding $1M; ADR premium to comp set. CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,AVID Hotel Savannah South-Gateway,Pass,avid,Savannah,GA,95,,DDM Hotels,,Select-service,PRICE REDUCTION,,Jul 16,"9 Gateway Blvd West, Savannah GA 31419. CORE SE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Holiday Inn Express & Suites Hardeeville-Hilton Head,Pass,Holiday Inn Express,Hardeeville,SC,,,Colliers,,Select-service,For sale,,Jul 16,145 Independence Blvd. Prashant Merchant. CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Best Western Tallahassee Downtown Inn & Suites,Pass,Best Western,Tallahassee,FL,78,,Kabani Hotel Group,,Economy,Just listed,,Jul 16,"2016 Apalachee Pkwy. Built 1988, renovated 2023. 2 acres.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Fairfield Inn & Suites Smithfield Selma/I-95,Pass,Fairfield Inn,Smithfield,NC,89,Unpriced,Crexi,,Select-service,Listed,,Jul 16,"50,417-62,332 SF. CORE SE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Hampton Inn Amelia Island at Fernandina Beach,Pass,Hampton Inn,Fernandina Beach,FL,,,Crexi,,Select-service,Listed,,Jul 16,CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Courtyard Houston Sugar Land/Lake Pointe,Pass,Courtyard,Sugar Land,TX,,,Hodges Ward Elliott,,Select-service,CFO Jul 30,,Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Courtyard Irvine John Wayne Airport/Orange County,Pass,Courtyard,Irvine,CA,,,CBRE,,Select-service,CFO Aug 13,,Jul 16,Michael DiPrima (404) 790-3585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Courtyard San Diego Sorrento Valley,Pass,Courtyard,San Diego,CA,,,CBRE,,Select-service,CFO Aug 6,,Jul 16,Michael DiPrima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Courtyard Dayton North,Pass,Courtyard,Dayton,OH,,,HREC,,Select-service,RealINSIGHT auction; tours next week,,Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Fairfield Inn Warren Niles,Pass,Fairfield Inn,Warren,OH,,,HREC,,Select-service,RealINSIGHT auction; tours next week,,Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Country Inn & Suites Springfield,Pass,Country Inn & Suites,Springfield,OH,,,HREC,,Select-service,Tours this week (RealINSIGHT),,Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Residence Inn Palmdale Lancaster,Pass,Residence Inn,Palmdale,CA,,"$4,000,000 starting bid",Crexi,,Extended-stay,Auction,,Jul 16,Institutionally owned & managed; part of CA & TX portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Sioux City 3-Hotel Wyndham Portfolio,Pass,Wyndham (Super 8 +2),Sioux City,IA,,,Reco / Revere,,Portfolio,For sale,,Jul 16,"Super 8 56 rms, interior corridor, 3 stories, built 2000. Metro pop 145,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Quality Inn & Suites Black River Falls I-94,Pass,Quality Inn,Black River Falls,WI,133,"$850,000 starting bid",Marcus & Millichap,,Economy,Auction Aug 17-19,,Jul 16,Absentee owner. Miller-Gomes team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Former Best Western Branson Inn & Conference Center,Pass,Best Western (former),Branson West,MO,146,"$1,250,000 starting bid",Marcus & Millichap,,Economy,Auction Aug 17-19,,Jul 16,Market RevPAR $46.21 T12 Dec. Conversion/redev.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Pocono Mountain Hotel and Spa,Pass,Independent,Pocono,PA,120,"$5,000,000 ($41,667/key)",Crexi / Sarhan Hotel Group,,Full-service,For sale,,Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Wingate by Wyndham (NC),Pass,Wingate,,NC,,,Crexi,,Select-service,Listed,,Jul 16,Part of NC hotel set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Renovated California Motel & Apartments,Pass,Independent,,CA,,,Allred Hotel Group,,Economy,For sale,,Jul 16,4+ acre Opportunity Zone; motel + apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Palette Resort Myrtle Beach,Pass,Independent,Myrtle Beach,SC,,,Lodging Partners LLC / Crexi,,Full-service,Oceanfront OM available,,Jul 19,Oceanfront. CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Country Inn & Suites Conway,Pass,Country Inn & Suites,Conway,AR,67,"$4,100,000",Marcus & Millichap,,Select-service,Updated pricing,,Jul 19,750 Amity Rd. 15% YTD market RevPAR growth. Miller-Gomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Best Western Plus JFK Inn & Suites North Little Rock,Pass,Best Western,North Little Rock,AR,65,"$4,800,000",Marcus & Millichap,,Select-service,Updated financials,,Jul 19,2500 Main St. 16.2% YTD RevPAR growth. Miller-Gomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Comfort Inn Miramar Beach,Pass,Comfort Inn,Miramar Beach,FL,,,Crexi,,Select-service,Recommended listing,,Jul 19,2021-built; below replacement cost. CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Holiday Inn Express Tallahassee I-10 East,Pass,Holiday Inn Express,Tallahassee,FL,134,,Crexi,,Select-service,Listed,,Jul 19,CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Tru by Hilton Beaufort,Pass,Tru,Beaufort,SC,,,Crexi,,Select-service,Listing updated (price/metrics),,Jul 19,CORE SE. Was on watchlist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,New-Build Upscale Hotel - University Location,Pass,Independent,,,,,Allred Hotel Group,,Full-service,Inviting offers,,Jul 19,New-build upscale; year-round university market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Renaissance Tampa International Plaza Hotel,Underwrite,Renaissance (Marriott),Tampa,FL,293,,The Plasencia Group,Nick Plasencia · nplasencia@tpghotels.com · (813) 932-1234,Full-service,CA required — VDR access,,Jul 20,"AWAITING DATA — financials behind CA. AAA Four Diamond, attached to International Plaza mall, adjacent to Tampa Intl Airport, Westshore Business District. RevPAR index 130%+ per OM. Exec summary + VDR require signed CA.","4200 Jim Walter Blvd, Tampa, FL 33607",2004,,,Marriott International,,,,,,,,,,,,,,130%+ (per OM),,,,,,,,,,,,https://my.rcm1.com/buyer/vdr?pv=ukLKKkcIOg_1fwyL7yWziuMFoSUSQdGALnAU98XmzfEgtIK8XqwEJ15Gn66OXMeJ,https://tpghotels.com/property/renaissance-tampa-international-hotel/
411,TownePlace Suites Brunswick,Pass,TownePlace Suites,Brunswick,GA,,,Hunter,,Extended-stay,Just listed; data room open,,Jul 20,"149 Gateway Center Blvd, Brunswick GA 31525. CORE SE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Baxter 3-Hotel Portfolio,Pass,Portfolio,Baxter,MN,,,HREC,,Portfolio,Just listed; VDR open,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Staybridge Suites Orlando Royale Parc Suites,Pass,Staybridge Suites,Orlando,FL,,,Hunter,,Extended-stay,Tours Jul 28-29,,Jul 20,CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,The Westin Dallas Park Central,Pass,Westin,Dallas,TX,,,Eastdil Secured,,Full-service,CFO + tours,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Four Points by Sheraton Saginaw,Pass,Four Points,Saginaw,MI,150,"$10,700,000",Marcus & Millichap,,Select-service,Updated pricing,,Jul 20,"$71,300/key, 3.1x room rev. F&B by lessee. Miller-Gomes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Hampton Inn & Fairfield Inn Tracy,Pass,Hampton / Fairfield,Tracy,CA,,,HREC (Crexi),,Portfolio,Auction — must acquire together,,Jul 20,2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Fairfield Inn Joliet South,Pass,Fairfield Inn,Joliet,IL,,,HREC,,Select-service,RealINSIGHT auction; tours,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Spark by Hilton Conversion New Mexico,Pass,Spark by Hilton,,NM,,,Allred Hotel Group,,Economy,Inviting offers (conversion),,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,EverHome Suites Atlanta Stockbridge,Pass,EverHome Suites,Stockbridge,GA,114,,DDM Hotels,,Extended-stay,Just listed,,Jul 20,ATL MSA. Choice extended-stay — off-brand for buy-box.,"3533 Cameron Pkwy, Stockbridge, GA 30281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,SpringHill Suites Jacksonville,To review,SpringHill Suites,Jacksonville,FL,102,,Hodges Ward Elliott,,Select-service,Just listed (fee simple),,Jul 22,"2000-vintage, 102 suites. CORE SE.","4385 Southside Blvd area, Jacksonville FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Fairfield Inn & Suites Charlotte Monroe,To review,Fairfield Inn,Monroe,NC,,,HREC,,Select-service,Just listed,,Jul 22,Charlotte MSA. CORE SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Candlewood Suites Greenville NC,To review,Candlewood Suites,Greenville,NC,94,,Colliers,Prashant Merchant,Extended-stay,For sale,,Jul 22,CORE SE.,"1055 Waterford Commons Rd, Greenville NC 27834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Marriott Syracuse Downtown,Pass,Marriott,Syracuse,NY,315,,JLL,,Full-service,Deal room / CA,,Jul 22,"Out of geo, full-service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Marriott Colorado Springs,Pass,Marriott,Colorado Springs,CO,,,CBRE,,Full-service,Investment opportunity,,Jul 21,"Out of geo, full-service.","5580 Tech Center Dr, Colorado Springs CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Days Inn by Wyndham Van Horn,Pass,Days Inn,Van Horn,TX,58,,Marcus & Millichap,,Economy,Updated pricing (15.49% cap),,Jul 22,"Economy, out of geo. Miller-Gomes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Holiday Inn Express & Suites Spring - Woodlands,Pass,Holiday Inn Express,Spring,TX,109,,HVS,,Select-service,New listing ($1.2M NOI),,Jul 22,Woodlands area. Out of geo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Cerulean Hotel & Waffle Hut,Pass,Independent,Klamath Falls,OR,82,"$6,500,000",Marcus & Millichap,,Independent,"New listing ($79,268/key)",,Jul 22,Out of geo. Miller-Gomes.,"100 Main St, Klamath Falls, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Confidential Wyndham Asset Mississippi,To review,Wyndham,,MS,,,Hotel Brokers of America,,Select-service,CA required,,Jul 22,Cash-flowing select-service. CORE SE geo but off-brand for buy-box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
